日期,居民消费价格指数,食品烟酒类居民消费价格指数,衣着类居民消费价格指数,居住类居民消费价格指数,生活用品及服务类居民消费价格指数,交通和通信类居民消费价格指数,教育文化和娱乐类居民消费价格指数,医疗保健类居民消费价格指数,其他用品和服务类居民消费价格指数,全国城镇调查失业率(%),全国16-24岁人口城镇调查失业率(%),全国25-59岁人口城镇调查失业率(%),31个大城市城镇调查失业率(%),进出口总值累计值(千美元),进出口总值累计增长(%),出口总值累计增长(%),进口总值同比增长(%),进口总值累计增长(%),进出口差额当期值(千美元),进出口差额累计值(千美元),房地产股票成交量,房地产股票成交金额,房地产股票成交总市值,房地产股票流通市值,房价,
2022/8/22,,,,,,,,,,,,,,,,,,,,,7710101,22171554,2373809244,2373809244,57597元/㎡,57597元/㎡
2022/7/22,101.9,102.5,100.9,100.6,100.8,106.6,101.2,100.8,100.9,5.4,19.9,4.3,5.6,564661249,11,18,2.3,5.3,101267263,482299580,15625022,47609385,2514909793,2514909793,56059元/㎡,56059元/㎡
2022/6/22,101.8,102,100.9,100.8,100.6,106.7,101.5,100.8,101.2,5.5,19.3,4.5,5.8,564587051,10.3,17.9,1,5.7,97940000,385440000,16592600,50186012,2514909793,2514909793,53552元/㎡,53552元/㎡
2022/5/22,101.7,101.6,100.8,101,100.3,106.1,101.5,100.8,101.3,5.9,18.4,5.1,6.9,537735611,11.1,16.9,4.1,6.6,78750000,290460000,42309498,126100275,2481709664,2481709664,50136元/㎡,50136元/㎡
2022/4/22,101.6,100.8,100.8,101.2,100,106,101.7,100.7,101.2,6.1,18.2,5.3,6.7,496120251,2.1,3.9,0,7.1,51120000,212930000,111967542,435194959,3303412863,3303412863,47135元/㎡,47135元/㎡
2022/3/22,101.4,99.9,100.9,101.3,99.5,106,101.9,100.7,101.1,5.8,16,5.2,6,504788873,7.5,14.7,-0.1,9.6,47380000,162940000,17340100,53095056,2556409955,2556409955,45797元/㎡,45797元/㎡
2022/2/22,101.2,99.3,101,101.6,99.3,106,101.4,100.7,100.3,5.5,15.3,4.8,5.4,404249368,8.1,6.2,10.4,15.5,30584000,115955000,24550205,74851249,2556409955,2556409955,44854元/㎡,44854元/㎡
2022/1/22,101.3,99.4,100.4,101.6,98.8,105.7,102.3,100.7,99.6,5.3,15.3,4.6,5.4,569200293,22.2,24.1,19.8,19.8,85372000,85372000,65904852,202815436,2614510181,2614510181,44752元/㎡,44752元/㎡
2022/12/21,101.1,100.5,99.8,101.1,99.7,105.1,100.9,99.8,99.5,5.1,14.3,4.4,5.1,586534153,20.3,20.9,19.5,30.1,94460000,676430000,6693866,15800089,1975407692,1975407692,44387元/㎡,44387元/㎡
2022/11/21,101,100.4,99.7,101.1,99.7,105.1,100.7,99.7,99.7,5,14.3,4.3,5.1,579339168,26.1,22,31.7,31.4,71710000,581710000,4595500,10588743,1909007434,1909007434,42083元/㎡,42083元/㎡
2022/10/21,100.9,100,99.8,101.1,99.8,104.8,100.6,99.6,99.9,4.9,14.2,4.2,5.1,515903015,24.3,27.1,20.6,31.4,84540000,510630000,12092768,30980129,2141408339,2141408339,40042元/㎡,40042元/㎡
2022/9/21,100.8,99.8,99.7,101,99.7,104.4,100.5,99.5,100.1,4.9,14.6,4.2,5,544716847,23.3,28.1,17.6,32.6,66760000,427540000,11945322,28737018,2008607821,2008607821,39620元/㎡,39620元/㎡
2022/8/21,100.7,100.1,99.7,100.9,99.7,104.1,100.1,99.5,100.3,5.1,15.3,4.3,5.3,530299727,28.8,25.6,33.1,34.8,58330000,362490000,6728052,15151264,1892407369,1892407369,57768元/㎡,57768元/㎡
2022/7/21,100.6,100.3,99.7,100.8,99.7,103.6,99.8,99.4,100.9,5.1,16.2,4.2,5.2,508735832,23.1,19.3,28.1,34.9,56590000,306120000,3977701,9829275,2050107983,2050107983,57662元/㎡,57662元/㎡
2022/6/21,100.5,100.5,99.7,100.6,99.7,102.9,99.3,99.3,100.9,5,15.4,4.2,5.2,511307785,34.2,32.2,36.7,36,51526570,251517030,6658815,17635656,2199508565,2199508565,58077元/㎡,58077元/㎡
2022/5/21,100.4,100.8,99.8,100.3,99.8,102.3,99.4,99.2,100.8,5,13.8,4.4,5.2,482305116,37.4,27.9,51.1,35.6,45539578,203445217,5758040,13988392,2025207886,2025207886,58931元/㎡,58931元/㎡
2022/4/21,100.2,100.7,99.8,100.1,99.7,101.4,99.4,99.1,100.7,5.1,13.6,4.6,5.2,484987380,37,32.3,43.1,31.9,42860206,157905666,4794035,11462068,1983707724,1983707724,53921元/㎡,53921元/㎡
2022/3/21,99.9,100.9,99.9,99.8,99.7,99.2,99.4,99.1,100.6,5.3,13.6,4.8,5.3,468470355,34.2,30.6,38.1,28,13797961,116354007,7055800,16918136,2000307789,2000307789,51382元/㎡,51382元/㎡
2022/2/21,99.6,101.2,99.6,99.5,99.9,95.9,99.9,99.1,101.2,5.5,13.1,5,5.5,371830507,67,154.9,17.3,22.2,37879844,103258471,3362753,7621962,1875807304,1875807304,51155元/㎡,51155元/㎡
2022/1/21,99.2,101.5,99.8,99.3,100.6,93.3,99.2,99.1,102,5.4,12.7,4.9,5.4,462659051,25.6,24.8,26.6,26.6,65378627,65378627,4952604,12503118,2083308112,2083308112,53049元/㎡,53049元/㎡
2022/12/20,101.7,105.7,99.8,99.1,100,95.8,102.5,104.9,108.3,5.2,12.3,4.7,5.1,485681681,12.9,18.1,6.5,-1.1,78173772,535033729,14094400,38202076,2257608791,2257608791,54704元/㎡,54704元/㎡
2022/11/20,101.9,106.2,99.8,99.1,100,95.6,102.7,105.5,108.4,5.2,12.8,4.7,5.2,460747151,13.6,21.1,4.5,-1.6,75401035,459898001,11793700,28949064,2041807951,2041807951,61613元/㎡,61613元/㎡
2022/10/20,102,106.8,99.8,99.1,99.9,95.6,102.6,106.2,108.4,5.3,13.2,4.8,5.3,415921986,8.4,11.4,4.7,-2.3,58443137,384496966,3530388,9043045,2133108306,2133108306,59531元/㎡,59531元/㎡
2022/9/20,102.2,107.1,99.7,99.1,99.9,95.5,102.6,107,108.4,5.4,15,4.8,5.5,442516723,11.4,9.9,13.2,-3.1,36999000,326054000,13490402,36796392,2249308759,2249308759,58064元/㎡,58064元/㎡
2022/8/20,102.3,107.2,99.7,99.2,99.9,95.4,103,108.1,108.5,5.6,16.8,4.8,5.7,411592986,4.2,9.5,-2.1,-5.2,58925000,289055000,7792153,20388295,2182908500,2182908500,59868元/㎡,59868元/㎡
2022/7/20,102.5,107.4,99.8,99.3,99.8,95.4,103.4,109.5,108.4,5.7,16.8,5,5.8,412933153,3.4,7.2,-1.4,-5.7,62329000,230130000,16373630,41003801,2091608145,2091608145,59602元/㎡,59602元/㎡
2022/6/20,102.8,107.6,99.9,99.4,99.8,95.5,103.9,111.5,108.4,5.7,15.4,5.2,5.8,380727151,1.5,0.5,2.7,-6.4,46421000,167800000,6703605,16453164,2050107983,2050107983,59943元/㎡,59943元/㎡
2022/5/20,103.1,108,99.9,99.6,99.8,95.8,103.8,113,108.4,5.9,14.8,5.4,5.9,350699571,-9.3,-3.3,-16.7,-8.2,62926000,121359000,5117921,12703299,2066708048,2066708048,59913元/㎡,59913元/㎡
2022/4/20,103.4,109,100.1,99.7,99.7,96.3,103.6,113.2,108.3,6,13.8,5.5,5.8,355134209,-5.1,3.5,-14.2,-6,45333000,58265000,9814520,24758430,2066708048,2066708048,59376元/㎡,59376元/㎡
2022/3/20,103.8,109.7,100.2,99.8,99.5,97.6,103.4,113.1,108.3,5.9,13.3,5.4,5.7,350359336,-4,-6.6,-1,-2.9,19933000,13057000,10611781,25046059,1983707724,1983707724,58355元/㎡,58355元/㎡
